id,id_passenger,date_created,date_close
7251455502,1205430759,2021-07-29T19:13:44.285Z,2021-07-30T11:03:38.481Z
7251436090,1386085340,2021-07-29T19:08:21.854Z,2021-07-30T11:05:44.446Z
7250598522,1295548347,2021-07-29T16:06:34.791Z,2021-07-30T09:10:35.248Z
7251395081,1410030203,2021-07-29T18:57:00.652Z,2021-07-30T09:00:51.379Z
7251459918,1522517499,2021-07-29T19:14:52.541Z,2021-07-30T08:44:08.675Z
7249777353,462104753,2021-07-29T13:00:56.686Z,2021-07-30T08:59:37.457Z
7250023085,1522911650,2021-07-29T14:00:07.149Z,2021-07-30T09:05:19.225Z
7248890473,467467479,2021-07-29T08:52:57.650Z,2021-07-30T08:41:36.798Z
7251460608,532693064,2021-07-29T19:15:00.874Z,2021-07-30T08:53:49.646Z
7250257363,526607379,2021-07-29T14:54:40.116Z,2021-07-30T08:49:50.673Z
7250598729,1414021715,2021-07-29T16:06:36.354Z,2021-07-30T08:57:10.801Z
7249309257,486070155,2021-07-29T10:53:31.772Z,2021-07-30T10:18:01.630Z
7251377187,289031110,2021-07-29T18:51:51.433Z,2021-07-30T09:38:00.032Z
7250189743,1404355482,2021-07-29T14:39:27.292Z,2021-07-30T10:51:18.946Z
7251334545,554552517,2021-07-29T18:40:33.071Z,2021-07-30T09:18:04.376Z
7251407110,569101972,2021-07-29T19:00:13.762Z,2021-07-30T11:23:55.599Z
7249487760,1357748788,2021-07-29T11:44:34.404Z,2021-07-30T10:40:41.508Z
7248882078,1517970238,2021-07-29T08:50:27.583Z,2021-07-30T10:26:08.392Z
7251034947,1249553890,2021-07-29T17:33:04.041Z,2021-07-30T11:29:06.603Z
7249120933,1521890588,2021-07-29T10:00:21.371Z,2021-07-30T11:07:34.324Z
7249581876,1364771493,2021-07-29T12:10:06.913Z,2021-07-30T11:36:33.975Z
7249281703,560254953,2021-07-29T10:45:40.912Z,2021-07-30T10:20:47.830Z
7251183895,373667522,2021-07-29T18:04:49.408Z,2021-07-30T09:21:33.948Z
7251389745,1161552509,2021-07-29T18:55:27.446Z,2021-07-30T09:37:23.489Z
7249770637,1522870250,2021-07-29T12:59:14.625Z,2021-07-30T09:17:22.315Z
7248582733,472061430,2021-07-29T07:32:06.781Z,2021-07-30T09:27:47.036Z
7250557214,1518877634,2021-07-29T15:58:13.308Z,2021-07-30T09:18:46.229Z
7249746901,464953855,2021-07-29T12:53:14.528Z,2021-07-30T09:26:29.757Z
7251171935,1290473029,2021-07-29T18:02:08.544Z,2021-07-30T09:37:02.377Z
7250321786,517302200,2021-07-29T15:08:42.769Z,2021-07-30T09:40:23.669Z
7250578236,523143970,2021-07-29T16:02:29.601Z,2021-07-30T10:01:44.536Z
7248910023,532526015,2021-07-29T08:58:13.142Z,2021-07-30T11:34:46.739Z
7249442082,1430390010,2021-07-29T11:32:13.986Z,2021-07-30T11:45:58.117Z
7250797794,1386319733,2021-07-29T16:45:37.447Z,2021-07-30T11:49:00.156Z
7249544133,1510242997,2021-07-29T11:59:58.396Z,2021-07-29T12:22:46.012Z
7249080821,630434899,2021-07-29T09:47:55.720Z,2021-07-30T11:50:03.517Z
7250043348,1522640756,2021-07-29T14:04:59.197Z,2021-07-30T11:56:56.302Z
